City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinabang,2.4803,96.3801,26.66,80,68,0.52,ID,1707258488
1,port mathurin,-19.6833,63.4167,26.86,71,61,7.67,MU,1707258488
2,waitangi,-43.9535,-176.5597,19.34,89,98,2.68,NZ,1707258489
3,coahuayana de hidalgo,18.7,-103.6583,29.99,55,2,3.18,MX,1707258489
4,settat,33.0007,-7.6204,11.9,74,0,3.16,MA,1707258489
5,papatowai,-46.5619,169.4708,14.6,67,69,5.03,NZ,1707258489
6,saldanha,-33.0117,17.9442,19.03,94,18,3.49,ZA,1707258291
7,grytviken,-54.2811,-36.5092,9.3,61,5,2.1,GS,1707258490
8,kudahuvadhoo,2.6708,72.8944,27.48,81,87,5.26,MV,1707258490
9,tolanaro,-25.0319,46.9987,23.04,94,75,7.2,MG,1707258302
10,at taj,24.2049,23.2857,11.6,38,32,3.86,LY,1707258490
11,victoria,22.2855,114.1577,18.57,91,100,4.92,HK,1707258354
12,hermanus,-34.4187,19.2345,18.78,79,36,7.01,ZA,1707258490
13,fort dodge,42.4975,-94.168,12.0,50,0,3.09,US,1707258491
14,castillos,-34.1667,-53.8333,22.4,69,0,6.37,UY,1707258491
15,hamilton,39.1834,-84.5333,9.99,54,0,2.57,US,1707258255
16,calimanesti,45.2333,24.3333,8.39,60,80,2.42,RO,1707258492
17,tarauaca,-8.1614,-70.7656,26.81,93,47,0.36,BR,1707258492
18,ushuaia,-54.8,-68.3,17.81,39,0,2.06,AR,1707258262
19,selfoss,63.9331,-20.9971,-8.5,88,90,2.53,IS,1707258493
20,avarua,-21.2078,-159.775,30.03,79,75,6.69,CK,1707258278
21,antsiranana,-12.2787,49.2917,23.79,98,100,0.76,MG,1707258385
22,college,64.8569,-147.8028,-9.56,78,40,2.06,US,1707258281
23,utrik,11.2278,169.8474,26.5,80,100,7.52,MH,1707258268
24,tura,25.5198,90.2201,12.89,95,0,1.13,IN,1707258288
25,carnarvon,-24.8667,113.6333,28.55,43,5,6.83,AU,1707258276
26,lazaro cardenas,17.9583,-102.2,28.31,61,5,3.79,MX,1707258494
27,orlov,58.5395,48.8917,-13.19,95,100,4.24,RU,1707258495
28,vilyuchinsk,52.9306,158.4028,-9.85,88,100,2.45,RU,1707258293
29,bella vista,36.4295,-94.2316,18.12,28,0,2.06,US,1707258492
30,kodiak,57.79,-152.4072,2.73,65,0,4.12,US,1707258251
31,port-aux-francais,-49.35,70.2167,5.99,93,100,10.47,TF,1707258497
32,blackmans bay,-43.0167,147.3167,16.07,60,98,0.45,AU,1707258266
33,tommot,58.9564,126.2925,-11.15,95,100,3.18,RU,1707258497
34,kapuskasing,49.4169,-82.4331,3.05,93,100,4.12,CA,1707258310
35,olonkinbyen,70.9221,-8.7187,-2.18,90,45,9.89,SJ,1707258311
36,lepsy,46.235,78.9456,-10.3,87,98,2.11,KZ,1707258498
37,bilibino,68.0546,166.4372,-36.29,100,100,0.62,RU,1707258277
38,muravlenko,63.7898,74.523,-8.26,97,99,3.32,RU,1707258499
39,santa cruz,-17.8,-63.1667,32.03,55,40,6.69,BO,1707258442
40,argo,37.6333,22.7333,11.55,49,0,2.06,GR,1707258499
41,ngaoundere,7.3167,13.5833,19.71,23,100,2.03,CM,1707258499
42,talnakh,69.4865,88.3972,-21.89,86,100,3.39,RU,1707258274
43,hithadhoo,-0.6,73.0833,28.21,75,55,2.51,MV,1707258272
44,wailua homesteads,22.0669,-159.378,25.44,68,20,9.77,US,1707258324
45,mugia,43.1041,-9.2179,13.84,91,100,9.19,ES,1707258500
46,rongelap,11.1635,166.8941,26.6,80,99,6.06,MH,1707258306
47,masterton,-40.9597,175.6575,24.5,30,9,3.61,NZ,1707258500
48,edinburgh of the seven seas,-37.0676,-12.3116,17.17,66,54,2.78,SH,1707258501
49,veraval,20.9,70.3667,21.59,61,12,5.3,IN,1707258501
50,palasa,18.7667,84.4167,22.09,84,0,2.33,IN,1707258501
51,haiku-pauwela,20.9219,-156.3051,25.01,67,20,10.29,US,1707258308
52,siwa oasis,29.2041,25.5195,14.72,54,0,2.5,EG,1707258501
53,pirallahi,40.4723,50.333,5.08,53,100,3.17,AZ,1707258502
54,sitka,57.0531,-135.33,2.94,87,0,2.57,US,1707258039
55,puerto natales,-51.7236,-72.4875,15.91,55,96,1.64,CL,1707258266
56,hammerfest,70.6634,23.6821,-7.75,79,75,1.03,NO,1707258295
57,parnu,58.3859,24.4971,-3.95,74,100,4.63,EE,1707258502
58,margaret river,-33.95,115.0667,16.52,64,0,5.08,AU,1707258330
59,palmerston north,-40.35,175.6167,24.47,75,23,2.68,NZ,1707258502
60,nadi,-17.8,177.4167,30.0,70,75,3.6,FJ,1707258503
61,sur,22.5667,59.5289,21.8,61,100,1.41,OM,1707258503
62,isafjordur,66.0755,-23.124,-3.17,87,100,8.88,IS,1707258275
63,pisco,-13.7,-76.2167,28.03,65,0,9.26,PE,1707258282
64,lorengau,-2.0226,147.2712,27.78,82,100,6.45,PG,1707258346
65,tepecoacuilco de trujano,18.3,-99.4833,34.77,13,0,1.78,MX,1707258503
66,ikryanoye,46.0932,47.7308,1.66,70,13,7.08,RU,1707258504
67,keflavik,64.0049,-22.5624,-2.76,80,20,10.29,IS,1707258276
68,bethel,41.3712,-73.414,3.83,56,19,0.45,US,1707258263
69,west island,-12.1568,96.8225,26.99,83,75,3.6,CC,1707258272
70,arauca,7.0847,-70.7591,30.98,62,20,2.06,CO,1707258505
71,alice springs,-23.7,133.8833,22.34,71,91,6.17,AU,1707258162
72,zhezqazghan,47.7833,67.7667,2.25,80,100,9.49,KZ,1707258506
73,qaqortoq,60.7167,-46.0333,-16.31,63,0,3.92,GL,1707258296
